index,series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country/state,suspects_amount,non-suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby-dum,scrappy-doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
580,Scooby-Doo and Guess Who?,Boomerang,1,Too Many Dummies!,8.2,28.0,2020-07-02,22,TV Series,Crazy Carl,Male,Possessed Object,Humanoid,Puppet,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,Rural,United States,6,False,True,Baz Bozzington,Male,1,Competition,you meddling kids,,True,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
581,Scooby-Doo and Guess Who?,Boomerang,1,Dance Matron of Mayhem,7.6,22.0,2020-07-02,22,TV Series,Ghost of Madame Zobrinsky,Female,Ghost,Ghost,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Urban,Pennsylvania,2,True,False,Madame Zobrinsky,Female,1,Competition,the hard work and dedication of Maddie Ziegler,you meddling kids too,False,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
582,Scooby-Doo and Guess Who?,Boomerang,1,The Wedding Witch of Wainsly Hall!,8.6,19.0,2020-07-02,22,TV Series,Wedding Witch of Wainsly Hall,Female,Magician,Witch,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Swamp,United States,3,False,True,Food Truck Chef Lady,Female,1,Theft,you meddling kids,"famous comedian, Jeff Foxworth",False,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
584,Scooby-Doo and Guess Who?,Boomerang,1,I Put a Hex on You!,8.4,25.0,2020-07-02,22,TV Series,Ghost of Ester Moonkiller,Female,Ghost,Ghost,Human,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Urban,Ohio,3,False,True,Xander,Female,1,Competition,you meddling kids who like an idiot I invited here,Hex Girls,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,True,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
585,Scooby-Doo and Guess Who?,Boomerang,1,The High School Wolfman's Musical Lament!,7.6,27.0,2020-07-02,23,TV Series,Werewolf,Male,Animal,Werewolf,Human,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,Urban,United States,4,True,True,Christian Slater,Male,1,Competition,you meddling kids,,True,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
587,Scooby-Doo and Guess Who?,Boomerang,2,"The Phantom, the Talking Dog and the Hot Hot Hot Sauce!",,,2020-10-01,22,TV Series,Ghost of Tallis Taggert,Male,Ghost,Captain,Human,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Urban,Tennessee,3,False,True,John Lupointe,Male,1,Treasure,you meddling kids,and country music sensation Kacey Musgraves,False,0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
589,Scooby-Doo and Guess Who?,Boomerang,2,The Horrible Haunted Hospital of Dr. Phineas Phrag!,,,2020-10-01,23,TV Series,Phineas Phrag Monster,Male,Animal,Humanoid,Beast,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Rural,United States,4,False,True,Big Bob McAllister,Male,1,Natural Resource,you meddling kids,"comedic stylings of famous actor and comedian, Kristen Schaal",True,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
590,Scooby-Doo and Guess Who?,Boomerang,2,The Hot Dog Dog!,,,2020-10-01,22,TV Series,Gnarled One,Male,Plant,Living,Tree,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Urban,Illinois,4,False,True,Big Eddy Eats,Male,1,Competition,you meddling kids,"competitive eating champ, Joey Chestnut",False,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
591,Scooby-Doo and Guess Who?,Boomerang,2,A Moveable Mystery!,,,2020-10-01,22,TV Series,Gargoyle,Male,Possessed Object,Statue,Gargoyle,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,France,5,False,True,Cache Blanc,Male,1,Theft,you meddling kids,world famous super model Gigi Hadid,True,0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
592,Scooby-Doo and Guess Who?,Boomerang,2,The Feast of Dr. Frankenfooder!,,,2020-10-01,22,TV Series,Frankenfooder Monster,Male,Possessed Object,Humanoid,Fruit,False,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Forest,Germany,3,True,False,Alton Brown,Male,1,Competition,you meddling kids,"well, me, I guess",False,0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
593,Scooby-Doo and Guess Who?,Boomerang,2,A Fashion Nightmare,,,2020-10-01,22,TV Series,Elevator Operator Ghost,Male,Ghost,Ghost,Human,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,Urban,United States,5,False,True,Marla,Female,1,Theft,you meddling kids,and style icon Tim Gunn,True,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
594,Scooby-Doo and Guess Who?,Boomerang,2,Scooby on Ice!,,,2020-10-01,22,TV Series,Snow Devil,Male,Animal,Yeti,Yeti,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Snow,Austria,4,False,True,Johann Stever,Male,1,Natural Resource,you meddling kids,und famous figure-skating champion and gold medalist Tara Lipinski,True,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
595,Scooby-Doo and Guess Who?,Boomerang,2,Caveman on the Half-Pipe,,,2020-10-01,22,TV Series,Caveman,Male,Ancient,Caveman,Human,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,Mountain,Colorado,4,False,True,Ski Instructor,Male,1,Treasure,you meddling kids,gold medalist snowboard champion Chloe Kim,False,0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
596,Scooby-Doo and Guess Who?,Boomerang,2,The Crown Jewel of Boxing!,,,2020-10-01,22,TV Series,Robot,Male,Mechanical,Robot,Robot,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,Urban,Kentucky,2,False,True,Caterer,Male,1,Treasure,you meddling kids,boxing legend Laila Ali,False,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
597,Scooby-Doo and Guess Who?,Boomerang,2,The Internet on Haunted House Hill!,,,2020-10-01,22,TV Series,Ghost of Charles M. Thraber,Male,Ghost,Ghost,Human,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Rural,United States,3,False,True,Caretaker,Male,1,Treasure,you meddling kids,video-making multimedia star Liza Koshy,True,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
603,Scooby-Doo and Guess Who?,Boomerang,2,Total Jeopardy!,,,2020-11-13,23,TV Series,Max Kilobyte,Male,Mechanical,Genius,Robot,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Urban,California,2,False,True,Cameraman,Male,1,Competition,you meddling kids,"and famed TV personality and game show host, Alex Trebek",True,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Grey DeLisle,Kate Micucci,Matthew Lillard,Frank Welker
